A_given,A_calc,A_diff,H_given,H_calc,H_diff,Result
0.442,0.405,-0.037,0.585,0.595,0.01,1
0.548,0.533,-0.015,0.474,0.467,-0.007,0
0.505,0.501,-0.004,0.519,0.499,-0.02,0
0.5,0.513,0.013,0.524,0.487,-0.037,0
0.614,0.613,-0.001,0.41,0.387,-0.023,1
0.398,0.358,-0.04,0.631,0.642,0.011,1
0.638,0.678,0.04,0.391,0.322,-0.069,0
0.559,0.546,-0.013,0.472,0.454,-0.018,1
0.49,0.504,0.014,0.533,0.496,-0.037,1
0.592,0.565,-0.027,0.435,0.435,0,1
0.512,0.516,0.004,0.512,0.484,-0.028,1
0.539,0.517,-0.022,0.483,0.483,0,1
0.585,0.584,-0.001,0.442,0.416,-0.026,0
0.502,0.493,-0.009,0.522,0.507,-0.015,1
0.433,0.427,-0.006,0.593,0.573,-0.02,1
0.345,0.389,0.044,0.683,0.611,-0.072,0
0.528,0.53,0.002,0.495,0.47,-0.025,0
0.539,0.542,0.003,0.483,0.458,-0.025,1
0.418,0.405,-0.013,0.606,0.595,-0.011,0
0.541,0.535,-0.006,0.481,0.465,-0.016,1
0.602,0.571,-0.031,0.424,0.429,0.005,0
0.621,0.575,-0.046,0.41,0.425,0.015,1
0.461,0.446,-0.015,0.569,0.554,-0.015,1
0.495,0.481,-0.014,0.528,0.519,-0.009,1
0.62,0.601,-0.019,0.412,0.399,-0.013,0
0.517,0.471,-0.046,0.507,0.529,0.022,0
0.533,0.543,0.01,0.49,0.457,-0.033,0
0.639,0.639,0,0.389,0.361,-0.028,1
0.559,0.549,-0.01,0.472,0.451,-0.021,0
0.537,0.531,-0.006,0.485,0.469,-0.016,0
0.417,0.418,0.001,0.615,0.582,-0.033,0
0.505,0.506,0.001,0.519,0.494,-0.025,1
0.417,0.4,-0.017,0.608,0.6,-0.008,1
0.502,0.496,-0.006,0.522,0.504,-0.018,0
0.592,0.601,0.009,0.435,0.399,-0.036,1
0.606,0.624,0.018,0.418,0.376,-0.042,0
0.563,0.533,-0.03,0.467,0.467,0,1
0.593,0.542,-0.051,0.433,0.458,0.025,1
0.539,0.525,-0.014,0.483,0.475,-0.008,0
0.512,0.521,0.009,0.512,0.479,-0.033,0
0.569,0.578,0.009,0.461,0.422,-0.039,1
0.552,0.541,-0.011,0.469,0.459,-0.01,0
0.583,0.61,0.027,0.444,0.39,-0.054,0
0.357,0.369,0.012,0.672,0.631,-0.041,0
0.282,0.282,0,0.744,0.718,-0.026,1
0.639,0.625,-0.014,0.389,0.375,-0.014,1
0.364,0.361,-0.003,0.667,0.639,-0.028,1
0.417,0.388,-0.029,0.608,0.612,0.004,1
0.49,0.479,-0.011,0.533,0.521,-0.012,1
0.512,0.477,-0.035,0.512,0.523,0.011,1
0.608,0.612,0.004,0.417,0.388,-0.029,1
0.556,0.49,-0.066,0.476,0.51,0.034,1
0.469,0.447,-0.022,0.552,0.553,0.001,0
0.614,0.61,-0.004,0.41,0.39,-0.02,0
0.37,0.369,-0.001,0.655,0.631,-0.024,0
0.512,0.481,-0.031,0.512,0.519,0.007,1
0.364,0.383,0.019,0.667,0.617,-0.05,1
0.351,0.341,-0.01,0.677,0.659,-0.018,1
0.561,0.555,-0.006,0.469,0.445,-0.024,1
0.467,0.474,0.007,0.554,0.526,-0.028,0
0.561,0.544,-0.017,0.469,0.456,-0.013,1
0.63,0.597,-0.033,0.4,0.403,0.003,0
0.444,0.423,-0.021,0.583,0.577,-0.006,0
0.493,0.506,0.013,0.531,0.494,-0.037,0
0.545,0.489,-0.056,0.476,0.511,0.035,1
0.512,0.476,-0.036,0.512,0.524,0.012,1
0.643,0.638,-0.005,0.385,0.362,-0.023,0
0.59,0.584,-0.006,0.437,0.416,-0.021,1
0.567,0.524,-0.043,0.463,0.476,0.013,0
0.512,0.502,-0.01,0.512,0.498,-0.014,1
0.62,0.602,-0.018,0.412,0.398,-0.014,0
0.394,0.394,0,0.635,0.606,-0.029,0
0.427,0.445,0.018,0.598,0.555,-0.043,1
0.583,0.574,-0.009,0.444,0.426,-0.018,1
0.483,0.497,0.014,0.539,0.503,-0.036,1
0.5,0.491,-0.009,0.524,0.509,-0.015,0
0.429,0.402,-0.027,0.597,0.598,0.001,1
0.478,0.483,0.005,0.543,0.517,-0.026,0
0.62,0.638,0.018,0.412,0.362,-0.05,0
0.643,0.608,-0.035,0.385,0.392,0.007,0
0.485,0.482,-0.003,0.537,0.518,-0.019,1
0.587,0.607,0.02,0.441,0.393,-0.048,0
0.567,0.568,0.001,0.463,0.432,-0.031,0
0.543,0.528,-0.015,0.478,0.472,-0.006,1
0.528,0.512,-0.016,0.495,0.488,-0.007,0
0.552,0.538,-0.014,0.469,0.462,-0.007,0
0.398,0.374,-0.024,0.631,0.626,-0.005,1
0.4,0.417,0.017,0.63,0.583,-0.047,1
0.502,0.527,0.025,0.522,0.473,-0.049,0
0.5,0.468,-0.032,0.524,0.532,0.008,1
0.467,0.479,0.012,0.554,0.521,-0.033,1
0.485,0.467,-0.018,0.537,0.533,-0.004,1
0.426,0.417,-0.009,0.6,0.583,-0.017,1
0.545,0.545,0,0.476,0.455,-0.021,1
0.661,0.691,0.03,0.364,0.309,-0.055,0
0.398,0.43,0.032,0.631,0.57,-0.061,1
0.554,0.524,-0.03,0.467,0.476,0.009,0
0.585,0.57,-0.015,0.442,0.43,-0.012,0
0.548,0.545,-0.003,0.474,0.455,-0.019,1
0.512,0.474,-0.038,0.512,0.526,0.014,1
0.62,0.602,-0.018,0.412,0.398,-0.014,0
0.677,0.689,0.012,0.351,0.311,-0.04,0
0.573,0.562,-0.011,0.457,0.438,-0.019,1
0.543,0.524,-0.019,0.478,0.476,-0.002,0
0.519,0.496,-0.023,0.505,0.504,-0.001,1
0.643,0.604,-0.039,0.385,0.396,0.011,0
0.649,0.555,-0.094,0.377,0.445,0.068,1
0.565,0.552,-0.013,0.465,0.448,-0.017,0
0.554,0.56,0.006,0.467,0.44,-0.027,0
0.478,0.472,-0.006,0.543,0.528,-0.015,1
0.426,0.432,0.006,0.6,0.568,-0.032,0
0.537,0.529,-0.008,0.485,0.471,-0.014,0
0.588,0.6,0.012,0.439,0.4,-0.039,0
0.476,0.508,0.032,0.556,0.492,-0.064,1
0.667,0.645,-0.022,0.364,0.355,-0.009,1
0.6,0.579,-0.021,0.426,0.421,-0.005,0
0.697,0.654,-0.043,0.328,0.346,0.018,0
0.42,0.443,0.023,0.605,0.557,-0.048,1
0.476,0.468,-0.008,0.556,0.532,-0.024,1
0.759,0.714,-0.045,0.267,0.286,0.019,1
0.683,0.557,-0.126,0.345,0.443,0.098,0
0.476,0.401,-0.075,0.556,0.599,0.043,1
0.457,0.394,-0.063,0.573,0.606,0.033,1
0.543,0.533,-0.01,0.478,0.467,-0.011,0
0.488,0.505,0.017,0.535,0.495,-0.04,0
0.476,0.459,-0.017,0.545,0.541,-0.004,0
0.472,0.459,-0.013,0.559,0.541,-0.018,0
0.431,0.411,-0.02,0.595,0.589,-0.006,0
0.328,0.358,0.03,0.697,0.642,-0.055,1
0.669,0.658,-0.011,0.361,0.342,-0.019,0
0.679,0.666,-0.013,0.348,0.334,-0.014,1
0.672,0.652,-0.02,0.357,0.348,-0.009,0
0.541,0.585,0.044,0.481,0.415,-0.066,1
0.543,0.556,0.013,0.478,0.444,-0.034,1
0.617,0.602,-0.015,0.415,0.398,-0.017,1
0.545,0.496,-0.049,0.476,0.504,0.028,1
0.502,0.485,-0.017,0.522,0.515,-0.007,0
0.535,0.525,-0.01,0.488,0.475,-0.013,1
0.543,0.561,0.018,0.478,0.439,-0.039,0
0.512,0.509,-0.003,0.512,0.491,-0.021,1
0.559,0.562,0.003,0.472,0.438,-0.034,0
0.571,0.547,-0.024,0.459,0.453,-0.006,1
0.677,0.656,-0.021,0.351,0.344,-0.007,0
0.785,0.797,0.012,0.241,0.203,-0.038,0
0.583,0.564,-0.019,0.444,0.436,-0.008,1
0.472,0.484,0.012,0.55,0.516,-0.034,0
0.545,0.566,0.021,0.476,0.434,-0.042,1
0.556,0.552,-0.004,0.476,0.448,-0.028,0
0.597,0.486,-0.111,0.429,0.514,0.085,0
0.661,0.539,-0.122,0.364,0.461,0.097,1
0.744,0.741,-0.003,0.282,0.259,-0.023,0
0.602,0.556,-0.046,0.424,0.444,0.02,0
0.585,0.481,-0.104,0.442,0.519,0.077,0
0.537,0.532,-0.005,0.485,0.468,-0.017,1
0.435,0.382,-0.053,0.592,0.618,0.026,1
0.587,0.582,-0.005,0.441,0.418,-0.023,1
0.636,0.572,-0.064,0.392,0.428,0.036,1
0.533,0.535,0.002,0.49,0.465,-0.025,0
0.474,0.458,-0.016,0.548,0.542,-0.006,0
0.554,0.534,-0.02,0.467,0.466,-0.001,1
0.444,0.348,-0.096,0.583,0.652,0.069,0
0.556,0.545,-0.011,0.476,0.455,-0.021,1
0.488,0.487,-0.001,0.535,0.513,-0.022,0
0.593,0.577,-0.016,0.433,0.423,-0.01,0
0.364,0.388,0.024,0.661,0.612,-0.049,0
0.593,0.614,0.021,0.433,0.386,-0.047,1
0.631,0.597,-0.034,0.398,0.403,0.005,0
0.672,0.624,-0.048,0.357,0.376,0.019,0
0.474,0.417,-0.057,0.548,0.583,0.035,1
0.677,0.662,-0.015,0.351,0.338,-0.013,1
0.661,0.627,-0.034,0.364,0.373,0.009,1
0.485,0.504,0.019,0.537,0.496,-0.041,1
0.524,0.521,-0.003,0.5,0.479,-0.021,0
0.554,0.551,-0.003,0.467,0.449,-0.018,0
0.631,0.662,0.031,0.398,0.338,-0.06,1
0.543,0.548,0.005,0.478,0.452,-0.026,0
0.507,0.487,-0.02,0.517,0.513,-0.004,0
0.498,0.477,-0.021,0.526,0.523,-0.003,0
0.478,0.472,-0.006,0.543,0.528,-0.015,0
0.554,0.52,-0.034,0.467,0.48,0.013,1
0.6,0.582,-0.018,0.426,0.418,-0.008,1
0.5,0.474,-0.026,0.524,0.526,0.002,0
0.485,0.498,0.013,0.537,0.502,-0.035,1
0.672,0.618,-0.054,0.357,0.382,0.025,1
0.744,0.768,0.024,0.282,0.232,-0.05,0
0.512,0.505,-0.007,0.512,0.495,-0.017,1
0.478,0.478,0,0.543,0.522,-0.021,1
0.5,0.508,0.008,0.524,0.492,-0.032,1
0.585,0.588,0.003,0.442,0.412,-0.03,1
0.535,0.506,-0.029,0.488,0.494,0.006,1
0.603,0.644,0.041,0.422,0.356,-0.066,1
0.539,0.502,-0.037,0.483,0.498,0.015,1
0.625,0.61,-0.015,0.405,0.39,-0.015,0
0.476,0.453,-0.023,0.556,0.547,-0.009,0
0.59,0.604,0.014,0.437,0.396,-0.041,1
0.4,0.354,-0.046,0.63,0.646,0.016,1
0.667,0.635,-0.032,0.364,0.365,0.001,0
0.63,0.579,-0.051,0.4,0.421,0.021,0
0.481,0.454,-0.027,0.541,0.546,0.005,0
0.615,0.613,-0.002,0.417,0.387,-0.03,1
0.638,0.635,-0.003,0.391,0.365,-0.026,1
0.519,0.507,-0.012,0.505,0.493,-0.012,1
0.515,0.499,-0.016,0.51,0.501,-0.009,0
0.55,0.538,-0.012,0.472,0.462,-0.01,1
0.395,0.4,0.005,0.634,0.6,-0.034,1
0.474,0.406,-0.068,0.548,0.594,0.046,0
0.467,0.455,-0.012,0.563,0.545,-0.018,1
0.697,0.685,-0.012,0.328,0.315,-0.013,1
0.635,0.635,0,0.394,0.365,-0.029,1
0.524,0.519,-0.005,0.5,0.481,-0.019,0
0.563,0.551,-0.012,0.467,0.449,-0.018,0
0.531,0.473,-0.058,0.493,0.527,0.034,0
